Year,Rank,Name,Team,Time,Notes,Rider
1998,1,Marco Pantani,Mercatone Uno,"92h 49' 46""",Forced to take a two-week break from racing in 1999 Giro for irregular blood values.[104] Died of cocaine overdose in 2004.,NA
1998,2,Jan Ullrich,Telekom,"+3' 21""",Implicated in Telekom affair and Operación Puerto. Banned retroactively in 2011 for the period 2005-7[105],NA
1998,3,Bobby Julich,Cofidis,"+4' 08""",Accused of doping by teammate Philippe Gaumont in the book Prisonnier du dopage. Admitted in October 2012.[106][107],NA
1998,4,Christophe Rinero,Cofidis,"+9' 16""",Accused of doping by teammate Philippe Gaumont in the book Prisonnier du dopage,NA
1998,5,Michael Boogerd,Rabobank,"+11' 26""","Accused by Floyd Landis of blood doping.[108] Allegedly involved in Humanplasma affair.[109] Admitted use of cortisonen at talkshow.[110] Admitted use of cortisonen again, and EPO and transfusions.[111]",NA
1998,6,Jean-Cyril Robin,US Postal Service,"+14' 57""",NA,NA
1998,7,Roland Meier,Cofidis,"+15' 13""",Tested positive for EPO in 2001.[112],NA
1998,8,Daniele Nardello,Mapei,"+16' 07""",NA,NA
1998,9,Giuseppe Di Grande,Mapei,"+17' 35""",sentenced to six months imprisonment for violating antidoping laws in Italy in 2005[113],NA
1998,10,Axel Merckx,Polti,"+17' 39""","Named in Giardini Margherita investigation in Italy, 1998.[114] Client of Michele Ferrari[115]",NA
1999,1,Lance Armstrong (USA),US Postal Service,"91h 32' 16""","Allegedly failed tests for EPO in 1999[116] in an unofficial test done in 2005 on frozen urine. Client of banned doping doctor Michele Ferrari. Accused by former team members, including Floyd Landis and Tyler Hamilton. Banned for life and stripped of all Tour de France titles in 2012.[42] Admitted using doping to win all tours on television in an interview with Oprah Winfrey held on 17 January 2013",NA
1999,2,Alex Zülle (SUI),Banesto,"+7' 37""",admitted to taking EPO during the Festina Affair,NA
1999,3,Fernando Escartín (ESP),Kelme,"+10' 26""",Named as a client of Conconi in the Ferrara affair.[117] Client of Michele Ferrari.,NA
1999,4,Laurent Dufaux (SUI),Saeco,"+14' 43""",sanctioned for doping during Festina affair,NA
1999,5,Ángel Casero (ESP),Vitalicio Seguros,"+15' 11""",Implicated in Fuentes affair.,NA
1999,6,Abraham Olano (ESP),ONCE,"+16' 47""","Failed tests for Caffeine and suspended for 3 months in 1994.  Named in Giardini Margherita investigation in Italy, 1998.[118]",NA
1999,7,Daniele Nardello (ITA),Mapei,"+17' 02""",,NA
1999,8,Richard Virenque (FRA),Polti,"+17' 28""",sanctioned for doping during Festina affair,NA
1999,9,Wladimir Belli (ITA),Festina,"+17' 37""",,NA
1999,10,Andrea Peron (ITA),ONCE,"+23' 10""",,NA
2000,1,Lance Armstrong (USA),US Postal Service,"92h 33' 08""",See #1999 Tour de France,NA
2000,2,Jan Ullrich (GER),Telekom,"+6' 02""",See #1998 Tour de France,NA
2000,3,Joseba Beloki (ESP),Festina,"+10' 04""","implicated in Operación Puerto, but later cleared by Spanish officials",NA
2000,4,Christophe Moreau (FRA),Festina,"+10' 34""",Failed tests for anabolic steroids in 1998.[119] Admitted to taking EPO during the Festina trial.[120],NA
2000,5,Roberto Heras (ESP),Kelme,"+11' 50""",Failed tests for EPO in 2005 Vuelta.[121],NA
2000,6,Richard Virenque (FRA),Polti,"+13' 26""",See #1999 Tour de France,NA
2000,7,Santiago Botero (COL),Kelme,"+14' 18""","Implicated in Operación Puerto and banned from 2006 Tour, but later cleared by Colombian officials",NA
2000,8,Fernando Escartín (ESP),Kelme,"+17' 21""",See #1999 Tour de France,NA
2000,9,Francisco Mancebo (ESP),Banesto,"+18' 09""",Implicated in Operación Puerto and banned from 2006 Tour,NA
2000,10,Daniele Nardello (ITA),Mapei,"+18' 25""",,NA
2001,1,Lance Armstrong (USA),US Postal Service,"86h 17' 28""",See #1999 Tour de France,NA
2001,2,Jan Ullrich (GER),Telekom,"+6' 44""",See #1998 Tour de France,NA
2001,3,Joseba Beloki (ESP),ONCE,"+9' 05""",See #2000 Tour de France,NA
2001,4,Andrei Kivilev (KAZ),Cofidis,"+9' 53""",NA,NA
2001,5,Igor González (ESP),ONCE,"+13' 28""","Banned for six months in 2000 for Nandrolone, and again in 2002 for doping",NA
2001,6,François Simon (FRA),Bonjour,"+17' 22""",NA,NA
2001,7,Óscar Sevilla (ESP),Kelme,"+18' 30""",Implicated in Telekom affair and Operación Puerto. Banned in 2010 after failing tests in the Vuelta a Colombia.,NA
2001,8,Santiago Botero (COL),Kelme,"+20' 55""",See #2000 Tour de France,NA
2001,9,Marcos Antonio Serrano (ESP),ONCE,"+21' 45""",Among the riders names in Operación Puerto.[122],NA
2001,10,Michael Boogerd (NED),Rabobank,"+22' 38""",See #1998 Tour de France,NA
2002,1,Lance Armstrong (USA),US Postal Service,"82h 05' 12""",See #1999 Tour de France,NA
2002,2,Joseba Beloki (ESP),ONCE,"+7' 17""",See #2000 Tour de France,NA
2002,3,Raimondas Rumsas (LIT),Lampre,"+8' 17""",Failed tests for EPO in 2003. 4 months suspended prison sentence in 2006 for import of prohibited substances in France.,NA
2002,4,Santiago Botero (COL),Kelme,"+13' 10""",See #2000 Tour de France,NA
2002,5,Igor González (ESP),ONCE,"+13' 54""",See #2001 Tour de France,NA
